date,time,action,code,name,price,shares,amount,reason
2026-08-24,07:45:26,BUY,513100,纳指ETF,2.166,23000,49818.0,nq(4.74%) > cyb(3.04%) -> 513100
2026-09-01,12:03:16,SELL,513100,纳指ETF,2.233,23000,51359.0,Both below threshold: cyb=-4.16% nq=-1.5%
